"repo_id","date","release_count","repo_group_id","repo_git","repo_path","repo_name","repo_added","repo_type","url","owner_id","description","primary_language","created_at","forked_from","updated_at","repo_archived_date_collected","repo_archived","tool_source","tool_version","data_source","data_collection_date","org_name"
37405,2014-07-12,1,25491,"https://github.com/apache/logging-log4j2","github.com-apache-logging-log4j2","logging-log4j2","2023-05-04 18:18:22","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2023-05-04 18:18:22","apache"
37405,2014-07-29,1,25491,"https://github.com/apache/logging-log4j2","github.com-apache-logging-log4j2","logging-log4j2","2023-05-04 18:18:22","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2023-05-04 18:18:22","apache"
37405,2014-08-17,1,25491,"https://github.com/apache/logging-log4j2","github.com-apache-logging-log4j2","logging-log4j2","2023-05-04 18:18:22","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2023-05-04 18:18:22","apache"
37405,2014-10-19,1,25491,"https://github.com/apache/logging-log4j2","github.com-apache-logging-log4j2","logging-log4j2","2023-05-04 18:18:22","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2023-05-04 18:18:22","apache"
37405,2015-02-22,1,25491,"https://github.com/apache/logging-log4j2","github.com-apache-logging-log4j2","logging-log4j2","2023-05-04 18:18:22","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2023-05-04 18:18:22","apache"
37405,2015-05-10,1,25491,"https://github.com/apache/logging-log4j2","github.com-apache-logging-log4j2","logging-log4j2","2023-05-04 18:18:22","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2023-05-04 18:18:22","apache"
37405,2015-09-20,1,25491,"https://github.com/apache/logging-log4j2","github.com-apache-logging-log4j2","logging-log4j2","2023-05-04 18:18:22","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2023-05-04 18:18:22","apache"
37405,2015-10-08,1,25491,"https://github.com/apache/logging-log4j2","github.com-apache-logging-log4j2","logging-log4j2","2023-05-04 18:18:22","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2023-05-04 18:18:22","apache"
37405,2016-01-08,1,25491,"https://github.com/apache/logging-log4j2","github.com-apache-logging-log4j2","logging-log4j2","2023-05-04 18:18:22","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2023-05-04 18:18:22","apache"
37405,2016-05-25,2,25491,"https://github.com/apache/logging-log4j2","github.com-apache-logging-log4j2","logging-log4j2","2023-05-04 18:18:22","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2023-05-04 18:18:22","apache"
37405,2016-06-05,1,25491,"https://github.com/apache/logging-log4j2","github.com-apache-logging-log4j2","logging-log4j2","2023-05-04 18:18:22","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2023-05-04 18:18:22","apache"
37405,2016-06-08,2,25491,"https://github.com/apache/logging-log4j2","github.com-apache-logging-log4j2","logging-log4j2","2023-05-04 18:18:22","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2023-05-04 18:18:22","apache"
37405,2016-07-05,1,25491,"https://github.com/apache/logging-log4j2","github.com-apache-logging-log4j2","logging-log4j2","2023-05-04 18:18:22","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2023-05-04 18:18:22","apache"
37405,2016-07-10,2,25491,"https://github.com/apache/logging-log4j2","github.com-apache-logging-log4j2","logging-log4j2","2023-05-04 18:18:22","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2023-05-04 18:18:22","apache"
37405,2016-09-25,1,25491,"https://github.com/apache/logging-log4j2","github.com-apache-logging-log4j2","logging-log4j2","2023-05-04 18:18:22","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2023-05-04 18:18:22","apache"
37405,2016-10-02,1,25491,"https://github.com/apache/logging-log4j2","github.com-apache-logging-log4j2","logging-log4j2","2023-05-04 18:18:22","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2023-05-04 18:18:22","apache"
37405,2016-10-05,2,25491,"https://github.com/apache/logging-log4j2","github.com-apache-logging-log4j2","logging-log4j2","2023-05-04 18:18:22","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2023-05-04 18:18:22","apache"
37405,2017-01-21,1,25491,"https://github.com/apache/logging-log4j2","github.com-apache-logging-log4j2","logging-log4j2","2023-05-04 18:18:22","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2023-05-04 18:18:22","apache"
37405,2017-01-29,2,25491,"https://github.com/apache/logging-log4j2","github.com-apache-logging-log4j2","logging-log4j2","2023-05-04 18:18:22","Organization","NULL","NULL","NULL","NULL","NULL","Parent not available","NULL","NULL","0","Frontend",1,"Git","2023-05-04 18:18:22","apache"
