commit_month,avg_commits_per_contributor,org_name
2018-03-01,6.5,fortran-lang
2018-04-01,13.2,fortran-lang
2018-05-01,35.666666666666664,fortran-lang
2018-06-01,14.5,fortran-lang
2018-07-01,40.0,fortran-lang
2018-08-01,5.0,fortran-lang
2018-09-01,22.5,fortran-lang
2018-10-01,11.25,fortran-lang
2018-11-01,21.0,fortran-lang
2019-01-01,15.75,fortran-lang
2019-02-01,19.333333333333332,fortran-lang
2019-03-01,136.66666666666666,fortran-lang
2019-04-01,32.0,fortran-lang
2019-05-01,19.0,fortran-lang
2019-06-01,7.5,fortran-lang
2019-07-01,13.666666666666666,fortran-lang
2019-08-01,3.5,fortran-lang
2019-09-01,4.5,fortran-lang
2019-10-01,1.0,fortran-lang
2019-12-01,17.444444444444443,fortran-lang
2020-01-01,32.07142857142857,fortran-lang
2020-02-01,18.46153846153846,fortran-lang
2020-03-01,16.2,fortran-lang
2020-04-01,18.36842105263158,fortran-lang
2020-05-01,223.70833333333334,fortran-lang
2020-06-01,64.0,fortran-lang
2020-07-01,35.94736842105263,fortran-lang
2020-08-01,14.0,fortran-lang
2020-09-01,75.3125,fortran-lang
2020-10-01,54.68421052631579,fortran-lang
2020-11-01,103.47368421052632,fortran-lang
2020-12-01,101.73913043478261,fortran-lang
2021-01-01,98.6923076923077,fortran-lang
2021-02-01,46.294117647058826,fortran-lang
2021-03-01,59.87096774193548,fortran-lang
2021-04-01,72.33333333333333,fortran-lang
2021-05-01,46.03703703703704,fortran-lang
2021-06-01,81.42105263157895,fortran-lang
2021-07-01,78.27027027027027,fortran-lang
2021-08-01,88.0,fortran-lang
2021-09-01,111.0625,fortran-lang
2021-10-01,154.4090909090909,fortran-lang
2021-11-01,133.85714285714286,fortran-lang
2021-12-01,264.07142857142856,fortran-lang
2022-01-01,64.11538461538461,fortran-lang
2022-02-01,69.65,fortran-lang
2022-03-01,242.47826086956522,fortran-lang
2022-04-01,62.96153846153846,fortran-lang
2022-05-01,80.25,fortran-lang
2022-06-01,141.45833333333334,fortran-lang
2022-07-01,150.94736842105263,fortran-lang
2022-08-01,82.84,fortran-lang
2022-09-01,39.628571428571426,fortran-lang
2022-10-01,13.666666666666666,fortran-lang
2022-11-01,55.31578947368421,fortran-lang
2022-12-01,32.90909090909091,fortran-lang
2023-01-01,36.92857142857143,fortran-lang
2023-02-01,49.9375,fortran-lang
2023-03-01,103.24,fortran-lang
2023-04-01,42.94117647058823,fortran-lang
2023-05-01,90.9,fortran-lang
2023-06-01,131.64,fortran-lang
2023-07-01,23.0,fortran-lang
2023-08-01,109.25,fortran-lang
2023-09-01,106.4375,fortran-lang
2023-10-01,49.6,fortran-lang
2023-11-01,21.0,fortran-lang
2023-12-01,52.68421052631579,fortran-lang
2024-01-01,179.38888888888889,fortran-lang
2024-02-01,72.3076923076923,fortran-lang
2024-03-01,111.68181818181819,fortran-lang
2024-04-01,1566.2307692307693,fortran-lang
2017-02-01,57.5,openmls
2017-03-01,3.0,openmls
2017-04-01,3.0,openmls
