release_month,release_count,org_name
2022-04-01,5,fortran-lang
2022-05-01,8,fortran-lang
2022-06-01,12,fortran-lang
2022-07-01,2,fortran-lang
2022-08-01,1,fortran-lang
2022-09-01,8,fortran-lang
2022-10-01,2,fortran-lang
2022-11-01,2,fortran-lang
2022-12-01,1,fortran-lang
2023-04-01,11,fortran-lang
2023-05-01,4,fortran-lang
2023-06-01,3,fortran-lang
2023-08-01,2,fortran-lang
2023-10-01,2,fortran-lang
2023-11-01,1,fortran-lang
2024-01-01,4,fortran-lang
2024-02-01,1,fortran-lang
2024-03-01,5,fortran-lang
2024-04-01,2,fortran-lang
2021-06-01,1,openmls
2021-07-01,3,openmls
2022-02-01,1,openmls
2022-06-01,1,openmls
2023-07-01,1,openmls
2014-07-01,2,openpgpjs
2014-10-01,3,openpgpjs
2014-12-01,1,openpgpjs
2015-02-01,2,openpgpjs
2015-10-01,1,openpgpjs
2016-02-01,1,openpgpjs
2017-03-01,2,openpgpjs
2018-03-01,4,openpgpjs
2018-04-01,5,openpgpjs
2018-05-01,2,openpgpjs
2018-07-01,3,openpgpjs
2018-08-01,3,openpgpjs
2018-09-01,3,openpgpjs
2018-10-01,2,openpgpjs
2018-11-01,2,openpgpjs
2018-12-01,1,openpgpjs
2019-01-01,5,openpgpjs
2019-02-01,4,openpgpjs
2019-03-01,1,openpgpjs
2019-05-01,3,openpgpjs
2019-06-01,3,openpgpjs
2019-08-01,1,openpgpjs
2019-09-01,2,openpgpjs
2019-11-01,1,openpgpjs
2019-12-01,2,openpgpjs
2020-01-01,2,openpgpjs
2020-02-01,4,openpgpjs
2020-04-01,3,openpgpjs
2020-07-01,3,openpgpjs
2020-09-01,1,openpgpjs
2020-12-01,1,openpgpjs
2021-01-01,1,openpgpjs
2021-02-01,1,openpgpjs
2021-03-01,1,openpgpjs
2021-04-01,1,openpgpjs
2021-05-01,1,openpgpjs
2021-07-01,2,openpgpjs
2021-08-01,1,openpgpjs
2021-09-01,1,openpgpjs
2021-11-01,1,openpgpjs
2022-01-01,1,openpgpjs
2022-03-01,2,openpgpjs
2022-06-01,2,openpgpjs
2022-08-01,1,openpgpjs
2022-09-01,1,openpgpjs
2023-02-01,2,openpgpjs
2023-04-01,1,openpgpjs
2023-05-01,1,openpgpjs
2023-08-01,3,openpgpjs
2023-09-01,1,openpgpjs
2023-10-01,2,openpgpjs
2024-02-01,1,openpgpjs
2024-03-01,1,openpgpjs
2017-08-01,71,rubygems
2017-09-01,2,rubygems
2017-10-01,1,rubygems
2017-12-01,1,rubygems
2018-05-01,1,rubygems
2018-07-01,1,rubygems
2018-08-01,1,rubygems
2018-09-01,2,rubygems
2018-10-01,4,rubygems
2018-11-01,2,rubygems
2018-12-01,3,rubygems
2019-01-01,2,rubygems
2019-06-01,1,rubygems
2019-08-01,1,rubygems
2019-09-01,1,rubygems
2019-11-01,1,rubygems
2019-12-01,3,rubygems
2020-01-01,2,rubygems
2020-05-01,3,rubygems
2021-10-01,1,rubygems
2022-02-01,2,rubygems
2022-03-01,4,rubygems
2022-04-01,4,rubygems
2022-05-01,4,rubygems
2022-06-01,6,rubygems
2022-07-01,4,rubygems
2022-08-01,4,rubygems
2022-09-01,2,rubygems
2022-10-01,4,rubygems
2022-11-01,4,rubygems
2022-12-01,4,rubygems
2023-01-01,10,rubygems
2023-02-01,4,rubygems
2023-03-01,6,rubygems
2023-04-01,5,rubygems
2023-05-01,2,rubygems
2023-06-01,4,rubygems
2023-07-01,4,rubygems
2023-08-01,4,rubygems
2023-09-01,2,rubygems
2023-10-01,2,rubygems
2023-11-01,4,rubygems
2023-12-01,10,rubygems
2024-01-01,4,rubygems
2024-02-01,2,rubygems
2024-03-01,2,rubygems
2018-07-01,1,uutils
2019-05-01,1,uutils
2020-04-01,1,uutils
2020-05-01,1,uutils
2021-01-01,1,uutils
2021-02-01,1,uutils
2021-03-01,1,uutils
2021-04-01,2,uutils
2021-07-01,1,uutils
2021-10-01,1,uutils
2022-01-01,2,uutils
2022-04-01,1,uutils
2022-05-01,1,uutils
2022-08-01,2,uutils
2022-10-01,1,uutils
2023-01-01,2,uutils
2023-04-01,2,uutils
2023-05-01,2,uutils
2023-06-01,2,uutils
2023-07-01,4,uutils
2023-09-01,3,uutils
2023-10-01,1,uutils
2023-11-01,1,uutils
2024-01-01,1,uutils
2024-02-01,4,uutils
2024-03-01,1,uutils
2024-04-01,2,uutils
2023-08-01,1,sequoia-pgp
2023-09-01,1,sequoia-pgp
