release_month,release_count,org_name
2018-12-01,1,openpgpjs
2019-01-01,5,openpgpjs
2019-02-01,4,openpgpjs
2019-03-01,1,openpgpjs
2019-05-01,3,openpgpjs
2019-06-01,3,openpgpjs
2019-08-01,1,openpgpjs
2019-09-01,2,openpgpjs
2019-11-01,1,openpgpjs
2019-12-01,2,openpgpjs
2020-01-01,2,openpgpjs
2020-02-01,4,openpgpjs
2020-04-01,3,openpgpjs
2020-07-01,3,openpgpjs
2020-09-01,1,openpgpjs
2020-12-01,1,openpgpjs
2021-01-01,1,openpgpjs
2021-02-01,1,openpgpjs
2021-03-01,1,openpgpjs
2021-04-01,1,openpgpjs
2021-05-01,1,openpgpjs
2021-07-01,2,openpgpjs
2021-08-01,1,openpgpjs
2021-09-01,1,openpgpjs
2021-11-01,1,openpgpjs
2022-01-01,1,openpgpjs
2022-03-01,2,openpgpjs
2022-06-01,2,openpgpjs
2022-08-01,1,openpgpjs
2022-09-01,1,openpgpjs
2023-02-01,2,openpgpjs
2023-04-01,1,openpgpjs
2023-05-01,1,openpgpjs
2023-08-01,3,openpgpjs
2023-09-01,1,openpgpjs
2023-10-01,2,openpgpjs
2024-02-01,1,openpgpjs
2024-03-01,1,openpgpjs
2024-04-01,1,openpgpjs
2022-07-01,1,pendulum-project
2022-10-01,1,pendulum-project
2022-12-01,1,pendulum-project
2023-04-01,2,pendulum-project
2023-05-01,1,pendulum-project
2023-06-01,2,pendulum-project
2023-08-01,1,pendulum-project
2023-09-01,6,pendulum-project
2023-10-01,3,pendulum-project
2023-11-01,3,pendulum-project
2023-12-01,2,pendulum-project
2024-01-01,3,pendulum-project
2024-02-01,2,pendulum-project
2024-03-01,1,pendulum-project
2021-04-01,1,php
2021-05-01,1,php
2021-09-01,1,php
2024-01-01,1,php
2024-02-01,2,php
2024-03-01,1,php
2024-04-01,2,php
2023-04-01,3,prefix-dev
2023-06-01,7,prefix-dev
2023-07-01,3,prefix-dev
2023-08-01,3,prefix-dev
2023-09-01,6,prefix-dev
2023-10-01,4,prefix-dev
2023-11-01,9,prefix-dev
2023-12-01,3,prefix-dev
2024-01-01,7,prefix-dev
