month,unique_contributors,org_name
2013-12,6,openpgpjs
2014-01,4,openpgpjs
2014-02,2,openpgpjs
2014-03,4,openpgpjs
2014-04,4,openpgpjs
2014-05,2,openpgpjs
2014-06,4,openpgpjs
2014-07,4,openpgpjs
2014-08,3,openpgpjs
2014-09,4,openpgpjs
2014-10,6,openpgpjs
2014-11,2,openpgpjs
2014-12,5,openpgpjs
2015-01,5,openpgpjs
2015-02,2,openpgpjs
2015-03,2,openpgpjs
2015-04,4,openpgpjs
2015-06,2,openpgpjs
2015-07,3,openpgpjs
2015-08,6,openpgpjs
2015-09,3,openpgpjs
2015-10,10,openpgpjs
2015-11,4,openpgpjs
2016-01,3,openpgpjs
2016-02,3,openpgpjs
2016-03,1,openpgpjs
2016-04,5,openpgpjs
2016-05,4,openpgpjs
2016-06,2,openpgpjs
2016-07,3,openpgpjs
2016-08,5,openpgpjs
2016-09,2,openpgpjs
2016-11,4,openpgpjs
2016-12,7,openpgpjs
2017-01,2,openpgpjs
2017-02,2,openpgpjs
2017-03,1,openpgpjs
2017-04,6,openpgpjs
2017-05,1,openpgpjs
2017-07,1,openpgpjs
2017-09,1,openpgpjs
2017-10,1,openpgpjs
2017-12,1,openpgpjs
2018-01,3,openpgpjs
2018-02,1,openpgpjs
2018-03,3,openpgpjs
2018-04,1,openpgpjs
2018-05,1,openpgpjs
2018-06,1,openpgpjs
2018-07,3,openpgpjs
2018-08,2,openpgpjs
2018-09,2,openpgpjs
2018-10,4,openpgpjs
2018-11,1,openpgpjs
2018-12,3,openpgpjs
2019-01,1,openpgpjs
2019-02,2,openpgpjs
2019-03,4,openpgpjs
2019-04,1,openpgpjs
2019-05,4,openpgpjs
2019-07,1,openpgpjs
2019-08,1,openpgpjs
2020-01,1,openpgpjs
2020-02,1,openpgpjs
2020-03,2,openpgpjs
2020-04,2,openpgpjs
2020-05,2,openpgpjs
2020-06,1,openpgpjs
2020-07,3,openpgpjs
2020-08,1,openpgpjs
2020-10,1,openpgpjs
2020-11,2,openpgpjs
2021-02,3,openpgpjs
2021-06,1,openpgpjs
2021-07,1,openpgpjs
2021-09,1,openpgpjs
2021-10,1,openpgpjs
2021-11,1,openpgpjs
2022-02,1,openpgpjs
2022-04,1,openpgpjs
2022-06,1,openpgpjs
2022-12,2,openpgpjs
2023-01,1,openpgpjs
2023-04,2,openpgpjs
2023-07,1,openpgpjs
2023-10,1,openpgpjs
2012-01,8,rubygems
2012-02,13,rubygems
2012-03,10,rubygems
2012-04,11,rubygems
2012-05,11,rubygems
2012-06,5,rubygems
2012-07,13,rubygems
2012-08,11,rubygems
2012-09,4,rubygems
2012-10,5,rubygems
2012-11,13,rubygems
2012-12,13,rubygems
2013-01,13,rubygems
2013-02,11,rubygems
2013-03,8,rubygems
2013-04,9,rubygems
2013-05,11,rubygems
2013-06,11,rubygems
2013-07,7,rubygems
2013-08,6,rubygems
2013-09,7,rubygems
2013-10,6,rubygems
2013-11,7,rubygems
2013-12,14,rubygems
2014-01,8,rubygems
2014-02,6,rubygems
2014-03,8,rubygems
2014-04,10,rubygems
2014-05,5,rubygems
2014-06,5,rubygems
2014-07,8,rubygems
2014-08,6,rubygems
2014-09,6,rubygems
2014-10,10,rubygems
