"table_name"
"analysis_log"
"chaoss_metric_status"
"chaoss_user"
"commit_comment_ref"
"commit_parents"
"commits"
"contributor_affiliations"
"contributor_repo"
"contributors"
"contributors_aliases"
"dei_badging"
"discourse_insights"
"dm_repo_annual"
"dm_repo_group_annual"
"dm_repo_group_monthly"
"dm_repo_group_weekly"
"dm_repo_monthly"
"dm_repo_weekly"
"exclude"
"issue_assignees"
"issue_events"
"issue_labels"
"issue_message_ref"
"issues"
"libraries"
"library_dependencies"
"library_version"
"lstm_anomaly_models"
"lstm_anomaly_results"
"message_analysis"
"message_analysis_summary"
"message_sentiment"
"message_sentiment_summary"
"platform"
"pull_request_analysis"
"pull_request_assignees"
"pull_request_commits"
"pull_request_events"
"pull_request_files"
"pull_request_labels"
"pull_request_message_ref"
"pull_request_meta"
"pull_request_repo"
"pull_request_review_message_ref"
"pull_request_reviewers"
"pull_request_reviews"
"pull_request_teams"
"pull_requests"
"releases"
"repo"
"repo_badging"
"repo_clones_data"
"repo_cluster_messages"
"repo_deps_libyear"
"repo_deps_scorecard"
"repo_group_insights"
"repo_groups"
"repo_groups_list_serve"
"repo_info"
"repo_insights"
"repo_insights_records"
"repo_labor"
"repo_meta"
"repo_sbom_scans"
"repo_stats"
"repo_test_coverage"
"repo_topic"
"repos_fetch_log"
"settings"
"topic_words"
"unknown_cache"
"unresolved_commit_emails"
"utility_log"
"working_commits"
